age,educ,sex,race,polviews,polviews_num,marijuana,marijuana01
56,14,male,white,conservative,6,should be legal,1
40,16,male,white,liberal,2,should be legal,1
34,15,female,other,moderate,4,should be legal,1
70,18,female,white,moderate,4,should be legal,1
63,16,female,white,slightly liberal,3,should be legal,1
24,16,female,white,liberal,2,should be legal,1
56,12,female,white,conservative,6,should not be legal,0
29,8,female,white,moderate,4,should be legal,1
61,20,female,white,liberal,2,should be legal,1
34,6,male,white,NA,,should not be legal,0
69,16,female,white,extremely liberal,1,should be legal,1
52,17,male,white,liberal,2,should be legal,1
27,17,male,white,conservative,6,should not be legal,0
63,12,female,white,liberal,2,should be legal,1
74,12,male,white,moderate,4,should be legal,1
61,12,female,white,moderate,4,should be legal,1
38,20,female,other,slightly liberal,3,should be legal,1
35,16,male,white,liberal,2,should be legal,1
32,16,male,other,moderate,4,should be legal,1
81,14,female,white,moderate,4,should not be legal,0
24,16,male,white,moderate,4,should be legal,1
80,12,male,white,conservative,6,should not be legal,0
42,12,male,black,liberal,2,should be legal,1
78,19,male,white,extremely liberal,1,should be legal,1
58,20,female,white,extremely liberal,1,should be legal,1
23,13,male,black,liberal,2,should be legal,1
72,16,male,white,NA,,should not be legal,0
29,16,male,white,slightly liberal,3,should be legal,1
37,12,female,white,moderate,4,should be legal,1
70,13,female,white,moderate,4,should be legal,1
65,18,female,white,liberal,2,should be legal,1
28,12,female,white,extremely liberal,1,should be legal,1
37,14,female,white,conservative,6,should be legal,1
31,12,male,white,slightly conservative,5,should not be legal,0
47,14,female,white,conservative,6,should not be legal,0
84,18,male,white,slightly conservative,5,should not be legal,0
67,13,female,white,moderate,4,should be legal,1
70,19,female,white,slightly conservative,5,should not be legal,0
69,17,male,white,liberal,2,should be legal,1
39,16,male,other,slightly liberal,3,should be legal,1
44,10,male,white,moderate,4,should be legal,1
68,12,female,white,moderate,4,should not be legal,0
30,16,male,white,liberal,2,should be legal,1
28,12,female,white,extremely liberal,1,should be legal,1
50,18,female,black,moderate,4,should be legal,1
69,12,female,white,liberal,2,should be legal,1
49,16,male,white,slightly conservative,5,should be legal,1
75,16,female,black,moderate,4,should be legal,1
36,16,female,black,moderate,4,should be legal,1
78,16,female,white,liberal,2,should be legal,1
62,12,female,white,moderate,4,should be legal,1
74,16,female,white,slightly liberal,3,should be legal,1
55,16,female,white,liberal,2,should not be legal,0
86,12,male,white,slightly conservative,5,should not be legal,0
48,18,female,white,liberal,2,should be legal,1
32,13,male,other,liberal,2,should be legal,1
39,11,male,black,moderate,4,should be legal,1
67,12,female,white,liberal,2,should be legal,1
64,12,female,black,NA,,should be legal,1
68,12,male,white,slightly conservative,5,should be legal,1
36,14,female,white,moderate,4,should be legal,1
20,12,female,other,extremely liberal,1,should be legal,1
42,16,female,white,conservative,6,should be legal,1
46,12,female,black,moderate,4,should be legal,1
63,17,female,black,conservative,6,should not be legal,0
67,12,female,white,liberal,2,should be legal,1
55,11,female,white,moderate,4,should be legal,1
58,12,male,white,moderate,4,should be legal,1
34,14,male,white,conservative,6,should be legal,1
29,8,female,white,moderate,4,should not be legal,0
70,18,male,white,conservative,6,should not be legal,0
86,12,female,white,NA,,should not be legal,0
38,3,female,white,slightly conservative,5,should not be legal,0
69,16,male,white,moderate,4,should be legal,1
58,16,female,white,extremely liberal,1,should be legal,1
62,15,male,white,moderate,4,should be legal,1
42,16,male,white,conservative,6,should be legal,1
46,14,male,white,slightly conservative,5,should be legal,1
69,15,female,white,conservative,6,should be legal,1
63,9,female,white,liberal,2,should be legal,1
34,13,female,white,moderate,4,should be legal,1
53,12,male,white,slightly conservative,5,should not be legal,0
59,12,female,white,slightly conservative,5,should be legal,1
39,16,female,white,moderate,4,should not be legal,0
34,19,female,black,slightly conservative,5,should be legal,1
62,12,male,black,moderate,4,should be legal,1
65,14,female,black,moderate,4,should be legal,1
51,9,male,other,slightly conservative,5,should not be legal,0
70,19,male,white,moderate,4,should be legal,1
65,17,female,white,moderate,4,should be legal,1
26,18,female,white,slightly conservative,5,should be legal,1
22,15,female,other,extremely liberal,1,should be legal,1
34,16,female,white,slightly liberal,3,should be legal,1
65,12,male,white,conservative,6,should be legal,1
43,16,male,other,conservative,6,should not be legal,0
35,17,male,white,slightly conservative,5,should not be legal,0
57,13,female,black,moderate,4,should be legal,1
77,17,male,white,slightly liberal,3,should be legal,1
28,18,male,white,extremely liberal,1,should be legal,1
61,19,male,white,slightly liberal,3,should be legal,1
33,16,male,other,liberal,2,should be legal,1
74,14,female,other,NA,,should not be legal,0
83,14,male,white,extremely liberal,1,should be legal,1
29,16,female,white,slightly conservative,5,should be legal,1
34,17,female,other,slightly liberal,3,should be legal,1
86,12,female,white,moderate,4,should be legal,1
55,16,male,white,slightly liberal,3,should be legal,1
66,12,female,white,conservative,6,should not be legal,0
24,13,female,white,liberal,2,should be legal,1
70,16,male,white,conservative,6,should not be legal,0
25,16,female,white,slightly liberal,3,should be legal,1
48,16,male,white,liberal,2,should be legal,1
64,13,male,white,conservative,6,should not be legal,0
54,16,female,white,moderate,4,should be legal,1
59,9,female,white,conservative,6,should be legal,1
74,19,male,white,slightly liberal,3,should not be legal,0
36,15,female,black,extremely liberal,1,should be legal,1
69,8,male,white,conservative,6,should be legal,1
63,18,male,white,slightly conservative,5,should be legal,1
21,12,female,white,NA,,should be legal,1
65,12,female,white,moderate,4,should not be legal,0
81,15,female,white,conservative,6,should not be legal,0
30,12,female,white,moderate,4,should be legal,1
57,19,male,white,slightly liberal,3,should be legal,1
40,14,male,white,moderate,4,should be legal,1
78,11,female,white,moderate,4,should not be legal,0
41,16,female,white,extremely liberal,1,should be legal,1
56,17,female,black,slightly liberal,3,should be legal,1
51,14,male,other,liberal,2,should not be legal,0
60,20,female,white,liberal,2,should be legal,1
64,15,male,other,moderate,4,should not be legal,0
32,16,female,white,liberal,2,should be legal,1
70,16,female,white,liberal,2,should be legal,1
67,17,male,black,moderate,4,should be legal,1
71,18,male,white,liberal,2,should be legal,1
58,16,male,other,liberal,2,should be legal,1
42,12,male,white,moderate,4,should be legal,1
43,13,female,other,moderate,4,should be legal,1
37,14,male,black,moderate,4,should not be legal,0
77,13,female,white,conservative,6,should not be legal,0
74,13,male,white,moderate,4,should be legal,1
49,20,male,white,slightly conservative,5,should be legal,1
64,16,female,white,moderate,4,should not be legal,0
58,12,female,black,moderate,4,should be legal,1
66,14,male,other,slightly conservative,5,should be legal,1
62,16,male,white,slightly liberal,3,should be legal,1
63,16,female,black,moderate,4,should not be legal,0
48,16,female,white,moderate,4,should be legal,1
28,15,female,white,moderate,4,should not be legal,0
83,12,female,white,moderate,4,should be legal,1
48,9,female,black,moderate,4,should be legal,1
62,14,male,white,moderate,4,should be legal,1
75,16,female,white,liberal,2,should be legal,1
33,16,female,white,liberal,2,should be legal,1
58,12,female,white,liberal,2,should be legal,1
21,1,male,white,extremely liberal,1,should not be legal,0
45,14,female,black,liberal,2,should be legal,1
67,12,male,white,conservative,6,should not be legal,0
70,16,female,white,slightly conservative,5,should not be legal,0
35,18,female,white,slightly liberal,3,should be legal,1
79,12,female,white,slightly liberal,3,should be legal,1
69,16,male,white,conservative,6,should not be legal,0
55,13,male,white,moderate,4,should be legal,1
31,16,female,white,slightly conservative,5,should not be legal,0
72,12,male,white,liberal,2,should be legal,1
28,14,female,other,moderate,4,should be legal,1
86,20,male,other,slightly liberal,3,should not be legal,0
24,17,male,black,slightly liberal,3,should be legal,1
62,16,male,white,conservative,6,should not be legal,0
36,12,female,white,slightly conservative,5,should be legal,1
42,12,female,white,moderate,4,should be legal,1
84,19,female,black,moderate,4,should not be legal,0
76,12,female,white,slightly conservative,5,should not be legal,0
51,12,male,white,moderate,4,should be legal,1
39,16,male,white,extremely liberal,1,should be legal,1
58,18,female,white,slightly liberal,3,should be legal,1
57,14,female,black,moderate,4,should be legal,1
76,12,female,white,liberal,2,should be legal,1
33,14,female,white,conservative,6,should be legal,1
84,16,male,white,slightly conservative,5,should be legal,1
25,15,female,white,slightly conservative,5,should be legal,1
72,12,female,other,moderate,4,should be legal,1
80,20,male,white,slightly conservative,5,should be legal,1
60,14,male,white,moderate,4,should be legal,1
80,16,male,white,slightly conservative,5,should be legal,1
68,12,female,black,slightly conservative,5,should be legal,1
36,12,female,white,slightly liberal,3,should be legal,1
68,12,male,white,conservative,6,should not be legal,0
60,19,male,white,slightly liberal,3,should be legal,1
40,17,female,white,slightly liberal,3,should be legal,1
38,16,male,white,liberal,2,should be legal,1
59,14,female,white,slightly liberal,3,should be legal,1
65,12,male,black,moderate,4,should be legal,1
67,12,male,white,slightly liberal,3,should be legal,1
49,16,female,black,slightly liberal,3,should not be legal,0
74,12,male,white,slightly conservative,5,should be legal,1
31,15,male,other,moderate,4,should be legal,1
53,16,female,white,conservative,6,should be legal,1
61,12,female,white,slightly liberal,3,should be legal,1
37,16,female,white,slightly conservative,5,should be legal,1
29,18,female,black,liberal,2,should be legal,1
73,18,male,white,moderate,4,should be legal,1
63,12,male,white,conservative,6,should not be legal,0
36,14,female,white,extremely liberal,1,should be legal,1
81,10,female,white,conservative,6,should be legal,1
67,13,female,white,moderate,4,should not be legal,0
63,13,male,white,moderate,4,should be legal,1
50,15,female,white,conservative,6,should not be legal,0
32,11,female,white,moderate,4,should be legal,1
60,16,female,white,liberal,2,should be legal,1
68,13,female,black,moderate,4,should be legal,1
82,10,male,white,slightly conservative,5,should not be legal,0
52,18,female,white,liberal,2,should be legal,1
57,12,female,black,liberal,2,should not be legal,0
19,12,female,white,liberal,2,should be legal,1
63,13,male,black,slightly liberal,3,should be legal,1
26,16,male,white,moderate,4,should be legal,1
44,16,female,white,moderate,4,should not be legal,0
35,18,female,white,liberal,2,should be legal,1
45,16,female,white,slightly conservative,5,should be legal,1
56,13,female,white,moderate,4,should be legal,1
51,18,female,white,liberal,2,should be legal,1
84,15,male,white,moderate,4,should be legal,1
56,12,male,white,moderate,4,should not be legal,0
22,14,female,white,slightly liberal,3,should be legal,1
23,12,male,other,conservative,6,should be legal,1
26,15,male,white,extremely liberal,1,should be legal,1
89,20,female,white,extremely liberal,1,should be legal,1
76,20,male,white,extremely liberal,1,should be legal,1
67,20,female,white,liberal,2,should be legal,1
59,8,female,white,moderate,4,should be legal,1
48,12,male,black,liberal,2,should be legal,1
59,14,female,white,moderate,4,should be legal,1
19,12,male,other,conservative,6,should be legal,1
51,19,male,white,moderate,4,should not be legal,0
49,18,male,black,moderate,4,should not be legal,0
56,15,male,white,liberal,2,should be legal,1
76,18,male,black,liberal,2,should be legal,1
41,14,female,white,conservative,6,should be legal,1
68,14,female,black,slightly conservative,5,should be legal,1
30,16,female,white,NA,,should be legal,1
46,16,male,black,slightly liberal,3,should not be legal,0
53,13,male,white,moderate,4,should be legal,1
35,16,female,white,moderate,4,should be legal,1
55,16,female,white,extremely liberal,1,should be legal,1
27,13,female,white,slightly liberal,3,should be legal,1
68,16,female,white,slightly liberal,3,should be legal,1
66,18,female,white,liberal,2,should be legal,1
65,16,male,black,liberal,2,should be legal,1
72,16,female,white,liberal,2,should be legal,1
31,17,male,white,slightly liberal,3,should be legal,1
69,12,male,white,slightly liberal,3,should be legal,1
59,16,male,white,conservative,6,should be legal,1
51,18,female,white,NA,,should be legal,1
72,14,female,white,moderate,4,should be legal,1
61,12,male,white,moderate,4,should be legal,1
58,10,female,white,slightly conservative,5,should not be legal,0
52,18,male,white,slightly conservative,5,should be legal,1
47,13,female,white,moderate,4,should be legal,1
44,17,female,white,slightly liberal,3,should be legal,1
72,17,male,white,slightly conservative,5,should be legal,1
69,12,female,white,NA,,should not be legal,0
35,17,female,white,liberal,2,should be legal,1
47,20,female,white,extremely liberal,1,should be legal,1
68,14,male,white,moderate,4,should not be legal,0
37,12,female,white,slightly liberal,3,should be legal,1
77,12,female,black,extremely liberal,1,should not be legal,0
30,18,female,other,moderate,4,should be legal,1
77,12,male,white,slightly liberal,3,should not be legal,0
56,12,female,other,moderate,4,should be legal,1
35,9,female,white,NA,,should be legal,1
45,17,male,white,conservative,6,should not be legal,0
24,16,male,white,extremely liberal,1,should be legal,1
29,12,female,white,extremely liberal,1,should be legal,1
42,13,female,white,conservative,6,should not be legal,0
29,16,male,white,slightly conservative,5,should be legal,1
67,18,female,white,conservative,6,should not be legal,0
22,15,male,white,extremely liberal,1,should be legal,1
40,16,female,white,moderate,4,should not be legal,0
41,16,female,white,slightly conservative,5,should be legal,1
42,12,female,white,moderate,4,should be legal,1
68,12,female,black,conservative,6,should be legal,1
63,12,female,white,conservative,6,should not be legal,0
40,16,male,white,slightly conservative,5,should be legal,1
45,12,male,black,moderate,4,should be legal,1
26,17,female,white,liberal,2,should be legal,1
74,16,male,white,NA,,should be legal,1
38,14,male,white,conservative,6,should be legal,1
85,14,female,white,conservative,6,should not be legal,0
26,16,female,white,liberal,2,should be legal,1
65,16,male,white,conservative,6,should be legal,1
53,16,female,other,moderate,4,should be legal,1
64,12,male,black,extremely liberal,1,should be legal,1
68,12,male,white,slightly conservative,5,should not be legal,0
79,12,female,white,conservative,6,should not be legal,0
25,16,female,white,extremely liberal,1,should be legal,1
57,13,male,black,moderate,4,should be legal,1
81,12,female,white,moderate,4,should not be legal,0
50,14,male,white,moderate,4,should be legal,1
67,12,female,white,conservative,6,should not be legal,0
46,16,female,black,moderate,4,should not be legal,0
31,16,male,white,slightly conservative,5,should be legal,1
56,12,female,black,moderate,4,should be legal,1
85,16,male,white,NA,,should not be legal,0
33,12,female,white,moderate,4,should be legal,1
62,13,male,white,slightly conservative,5,should be legal,1
47,18,female,white,liberal,2,should be legal,1
69,16,female,white,conservative,6,should not be legal,0
27,12,male,white,moderate,4,should be legal,1
78,18,female,white,liberal,2,should be legal,1
59,12,male,black,moderate,4,should be legal,1
55,6,male,white,moderate,4,should be legal,1
77,20,female,white,NA,,should not be legal,0
65,16,female,other,conservative,6,should not be legal,0
69,16,male,white,moderate,4,should be legal,1
42,17,male,white,liberal,2,should be legal,1
49,12,female,white,slightly conservative,5,should not be legal,0
80,6,female,white,liberal,2,should be legal,1
62,14,female,white,slightly liberal,3,should not be legal,0
34,16,female,white,liberal,2,should be legal,1
62,16,female,white,extremely liberal,1,should be legal,1
37,14,female,black,moderate,4,should be legal,1
74,19,female,white,liberal,2,should be legal,1
59,19,female,black,extremely liberal,1,should be legal,1
61,16,female,white,liberal,2,should be legal,1
67,20,female,white,extremely liberal,1,should be legal,1
48,16,male,white,slightly liberal,3,should be legal,1
70,18,male,white,moderate,4,should be legal,1
52,20,male,white,NA,,should be legal,1
51,16,female,other,liberal,2,should be legal,1
37,16,female,white,conservative,6,should be legal,1
69,17,female,white,slightly liberal,3,should be legal,1
28,16,female,white,slightly conservative,5,should be legal,1
63,18,male,white,slightly conservative,5,should be legal,1
52,17,male,white,moderate,4,should not be legal,0
22,14,male,other,moderate,4,should be legal,1
75,10,female,other,liberal,2,should be legal,1
54,18,female,white,moderate,4,should be legal,1
29,15,female,other,slightly conservative,5,should be legal,1
81,10,female,white,moderate,4,should be legal,1
70,12,female,white,moderate,4,should be legal,1
32,15,female,white,slightly liberal,3,should be legal,1
53,14,male,white,moderate,4,should be legal,1
61,20,male,white,liberal,2,should be legal,1
24,12,female,white,slightly liberal,3,should be legal,1
58,16,male,white,moderate,4,should not be legal,0
68,14,female,white,moderate,4,should be legal,1
73,12,female,white,moderate,4,should not be legal,0
27,12,male,white,moderate,4,should be legal,1
48,15,male,white,liberal,2,should be legal,1
74,16,male,white,slightly conservative,5,should not be legal,0
69,17,female,white,slightly liberal,3,should be legal,1
78,16,female,white,liberal,2,should not be legal,0
37,13,female,white,moderate,4,should be legal,1
45,12,female,white,conservative,6,should be legal,1
29,16,female,white,moderate,4,should be legal,1
29,15,female,black,moderate,4,should be legal,1
34,18,female,other,moderate,4,should not be legal,0
74,14,female,white,slightly conservative,5,should not be legal,0
21,13,female,white,slightly conservative,5,should be legal,1
33,13,male,white,liberal,2,should be legal,1
22,12,male,white,liberal,2,should be legal,1
50,14,female,white,conservative,6,should be legal,1
57,16,male,white,liberal,2,should be legal,1
44,12,male,white,slightly conservative,5,should not be legal,0
42,16,male,other,slightly liberal,3,should be legal,1
54,12,female,white,conservative,6,should be legal,1
32,5,female,white,moderate,4,should be legal,1
62,19,male,white,moderate,4,should not be legal,0
34,14,male,white,slightly liberal,3,should be legal,1
27,16,male,white,conservative,6,should be legal,1
30,14,male,white,moderate,4,should be legal,1
51,18,male,white,conservative,6,should be legal,1
57,18,female,white,slightly conservative,5,should be legal,1
72,17,female,white,liberal,2,should be legal,1
25,14,male,black,moderate,4,should be legal,1
45,16,female,black,slightly liberal,3,should not be legal,0
37,16,male,white,liberal,2,should be legal,1
36,13,male,black,moderate,4,should be legal,1
29,17,male,other,liberal,2,should be legal,1
50,17,male,white,slightly conservative,5,should be legal,1
52,17,female,white,liberal,2,should be legal,1
66,16,male,white,slightly conservative,5,should be legal,1
30,18,female,white,liberal,2,should be legal,1
77,20,male,white,conservative,6,should be legal,1
49,19,female,white,moderate,4,should be legal,1
74,16,male,white,extremely liberal,1,should be legal,1
67,14,male,white,liberal,2,should be legal,1
69,16,male,white,conservative,6,should not be legal,0
67,12,female,white,moderate,4,should be legal,1
74,16,female,white,conservative,6,should not be legal,0
35,14,female,white,slightly liberal,3,should be legal,1
28,14,female,black,slightly liberal,3,should be legal,1
59,16,male,white,conservative,6,should be legal,1
30,18,male,white,moderate,4,should be legal,1
46,20,female,white,liberal,2,should be legal,1
47,12,female,white,NA,,should be legal,1
60,16,female,white,liberal,2,should be legal,1
38,18,female,other,liberal,2,should not be legal,0
75,12,male,white,conservative,6,should not be legal,0
40,16,male,black,moderate,4,should be legal,1
28,16,female,white,slightly liberal,3,should be legal,1
64,12,female,white,moderate,4,should be legal,1
48,12,female,white,slightly conservative,5,should be legal,1
53,16,male,white,slightly conservative,5,should be legal,1
66,16,female,white,slightly liberal,3,should be legal,1
25,12,female,white,liberal,2,should be legal,1
67,20,male,white,NA,,should be legal,1
56,12,female,white,conservative,6,should be legal,1
43,10,male,other,moderate,4,should not be legal,0
68,18,male,white,slightly conservative,5,should be legal,1
75,17,female,white,liberal,2,should be legal,1
39,16,male,white,slightly liberal,3,should be legal,1
45,17,female,black,slightly liberal,3,should be legal,1
34,16,male,white,liberal,2,should be legal,1
36,19,male,white,liberal,2,should not be legal,0
48,11,female,white,conservative,6,should be legal,1
50,13,male,white,moderate,4,should be legal,1
57,18,male,white,conservative,6,should be legal,1
59,16,male,other,slightly conservative,5,should be legal,1
33,17,male,white,extremely liberal,1,should be legal,1
25,16,female,white,slightly conservative,5,should not be legal,0
28,12,male,other,slightly liberal,3,should be legal,1
32,20,female,white,liberal,2,should be legal,1
26,12,female,white,moderate,4,should be legal,1
31,16,female,other,slightly liberal,3,should not be legal,0
79,12,male,white,conservative,6,should not be legal,0
28,13,female,other,slightly liberal,3,should be legal,1
24,16,female,white,liberal,2,should be legal,1
51,18,male,white,moderate,4,should be legal,1
38,12,female,white,moderate,4,should be legal,1
32,12,female,white,moderate,4,should be legal,1
44,16,male,white,liberal,2,should be legal,1
76,15,male,white,conservative,6,should be legal,1
71,16,male,white,NA,,should not be legal,0
70,16,male,white,moderate,4,should be legal,1
64,16,female,white,moderate,4,should be legal,1
24,16,male,white,moderate,4,should be legal,1
29,14,female,white,conservative,6,should be legal,1
74,20,female,white,conservative,6,should not be legal,0
58,14,male,white,slightly conservative,5,should be legal,1
38,16,female,white,liberal,2,should be legal,1
38,16,female,white,moderate,4,should be legal,1
44,14,female,white,moderate,4,should be legal,1
39,19,female,white,extremely liberal,1,should be legal,1
71,18,male,white,liberal,2,should be legal,1
48,12,male,white,moderate,4,should be legal,1
